"","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12"
"Mmollay_Zwin2",0.42992396838929,0,0,0,0,0,0,0,0,0,0,0
"Mca1_Zwin2",0.386063217207599,0.267163910251594,0,0,0,0,0,0,0,0,0,0
"Mdentgyr_Zwin2",0.395878998940529,-0.0843991293844734,0.274842745676116,0,0,0,0,0,0,0,0,0
"Mca4_Zwin2",0.374681058126573,-0.130968981699135,0.286632334470045,0.108971445118748,0,0,0,0,0,0,0,0
"Msub_Zwin2",0.289726724272854,-0.0749584552812856,-0.171873360538663,-0.0722495427575827,0.310863718875329,0,0,0,0,0,0,0
"Mpresub_Zwin2",0.208003294001145,-0.0883032706946156,-0.175147291515557,-0.0948935999770216,0.0279736252637678,0.388730794475548,0,0,0,0,0,0
"Mhata_Zwin2",0.182911801809941,0.144605401423125,0.0715206649291906,-0.0592027130279695,-0.017834502434616,0.0793858468237865,0.524715131037286,0,0,0,0,0
"Mca3_Zwin2",0.297341952059184,-0.0967983591364107,0.235411292085639,0.108574937278233,-0.168848898350181,-0.108348184820342,0.0814223269054097,0.258609302758849,0,0,0,0
"Mhiptail_Zwin2",0.0771991988504426,0.013110668083095,-0.0228270709878198,0.0426426063728498,-0.0414712436740797,0.0511042013544746,0.0327387931427333,0.0336833475791889,0.375131638454182,0,0,0
"Mhipfiss_Zwin2",0.0908234582193706,0.0361030259077208,-0.0361221453975211,-0.0319117977225893,0.0803916982934975,0.0829519817960868,0.0649988916915518,0.0324069056401863,0.0269014557644004,0.59887599440986,0,0
"Mparasub_Zwin2",0.0825280579894588,-0.00903039493147122,-0.0796073487075812,-0.0781702452040459,-0.0541751019300795,0.203082211310818,-0.00445734342880849,0.0376663054950873,-0.0672333268227074,-0.1561324867826,0.497242651541969,0
"Mfim_Zwin2",-0.0651373425184797,0.0258769638326842,0.00526495060606044,-0.110008038246647,0.104789876982706,0.110518632911032,0.0513036409805381,-0.0462463205704863,-0.0865572708739072,-0.152653416474076,0.00434748818574388,0.566504408835468
